Référent SEE;"SERMA
Date";Type;Numéro de dossier;Comm.;Liens
ASC;;DD;12016;Bellevue Collex-Bossy;
ASC;;DD;12017;Céligny;
DL;;DD;22013;Bellevue;
GW;;DD;100538;Petit-Saconnex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 100538 Secheron 11-13 ch. des Mines avec NIE
ASC;;DD;102387;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 102387 Hôpital La Tour
AM;;DD;104570;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 104570-3 batiment industriel Plan les ouates
DL;;DD;104855;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 104855 - Easy Corner
WV;;DD;104942;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 104942 Centre multifonctionnel FTI Plan-les-Ouates
GW;2021-11-04 00:00:00;DD;104951;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 104951 - Richemont
ASC;;DD;104973;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 104973 Tour C2
ASC;;DD;105114;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 105114 bâtiments B10 à B14
ASC;;DD;105199;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 105199 Firmenich Satigny
AM;;DD;105427;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 105427 GREENSTAR
DL;;DD;105493;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 105493 Parkings des Vergers et des Arbères
ASC;;DD;105561;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 105561 Parking des Sports
;2020-09-14 00:00:00;DD;105585; -;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 105585 - Route des Nations
GW;;DD;105890;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 105890_Lot B1
AM;;DD;106351;Laconnex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 106351 Les Allues
AM;;DD;106504;Perly-Certoux;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 106504 les Mattines
ASC;2021-11-15 00:00:00;DD;106505;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 106505 Hispano
CT;;DD;106516;Genève;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 106516 - Nouvelle Comédie
GW;;DD;106595;Lancy;
ASC;;DD;106612;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 106612 Lac des Vernes - Meyrin
ASC;2020-06-30 00:00:00;DD;106650;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 106650-2 Les Vergers aménagements extérieurs
GW;;DD;106742;Lancy;
ASC;;DD;107077;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107077 Les Vergers - Bâtiment A26
ASC;2022-01-20 00:00:00;DD;107339;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107339 Etang îlot F
ASC;;DD;107340;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107340 Etang îlot C
ASC;;DD;107341;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107341 Etang îlot E
ASC;2022-12-08 00:00:00;DD;107342;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107342-2 Etang Aménagements extérieurs complémentaire
ASC;;DD;107343;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107343 Etang îlot D
ASC;2022-06-13 00:00:00;DD;107344;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107344-2 Etang îlot A modifications
ASC;;DD;107345;Vernier;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107345 Etang îlot B
ASC;;DD;107432;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107432 Les Vergers - bâtiment A15
ASC;;DD;107438;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107438 Les Vergers - bâtiment B2
DL;;DD;107484;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107484 - Remodelage agricole à Satigny
ASC;;DD;107489;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107489 Les Vergers - Tour C3
AM;2021-02-07 00:00:00;DD;107505;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107505 Patek Philippe PP6
ASC;;DD;107531;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107531 Les Vergers - bâtiments A23 et A27
ASC;;DD;107543;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107543 Les Vergers - Tour C1
CT;2022-07-08 00:00:00;DD;107550;Chêne-Bourg;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107550_ Espaces publics
MS;;DD;107611;Lancy;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107611 Adret Espaces publics
;2020-09-17 00:00:00;DD;107635;Plan-les-Ouates;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107635 Espace Tourbillon
ASC;;DD;107653;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107653 Les Vergers - bâtiment B5
ASC;;DD;107654;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107654 Les Vergers - bâtiment B3
ASC;;DD;107656;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107656 Les Vergers - bâtiment B1
ASC;;DD;107657;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107657 Les Vergers - bâtiment A22
AM;;DD;107673;Bardonnex;
ASC;;DD;107684;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107684 Les Vergers - bâtiments A24, A25 et A28
DL;;DD;107717;;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107717 GENILAC
MS;;DD;107750;Thonex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107750 Maillon routier Exterieur PLQ
MS;;DD;107751;Thonex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107751 Maillon routier Interieur PLQ
ASC;;DD;107801;Thonex;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107801 Etienne Chennaz
CT;;DD;107823;Chêne_bourg;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107823 - Parking Gare de Chêne Bourg
ASC;;DD;107872;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107872 Les Vergers - bâtiments A11 et A12
ASC;;DD;107917;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 107917-2 Les Vergers - équipements publics
ASC;;DD;108014;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108014 Les Vergers - Ecole Voie Lactée
GW;2022-04-14 00:00:00;DD;108073;Satigny;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108073 - RAE 21-30 - Implenia - Stockage matériaux au Bois de Bay
AL;;DD;108079;Meyrin;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108079 Les Vergers -bâtiment A14
CT;;DD;108247;Chêne-Bourg;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108247 - Batiment B OPALE CFF
CT;;DD;108349;Thonex Puplinge;S:\UO5196\50_SERMA\04_SECTEUR_EE\02_EVAL_ENVIRO\DD\DD 108349 RC 23 Route de Jussy Lot 2
